assigned_to,Mathematical,Shape(s) is closed,Labeled angles (if any) match drawn angle,Applicable - Labeled angles (if any) match drawn angle,Labeled lengths and areas (if any) match visual proportions,Applicable - Labeled lengths and areas (if any) match visual proportions,Core math properties of the shape(s) are correct,Spatial,Diagram is fully in frame,Diagram elements are scaled to be readable,Labels (if any) are associated with correct elements,Applicable - Labels (if any) are associated with correct elements,Diagram elements don't problematically overlap,prompt,subcategory,image,tikz,rating_source,diagram_id
Shubhra,,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,triangle PQR with angle P = 45° and angle Q = 67°,triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-mcLaOevA4iNM3ZuIefKVxtXoxS6HA3.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\def\unitLength{0.25in}

% Command to draw angle labels
\newcommand{\angleLabel}[6][0.4in]{%[labelDistance]{center}{startAngle}{endAngle}{positionRatio}{label}
     \centerarc[line width=0.5pt]#2(#3:#4:0.25in);
     \pgfmathsetmacro{\labelAngle}{#5*(#3)+(1-#5)*(#4)}; 
     \node at ($#2+(\labelAngle:#1)$) {#6};
}

\begin{tikzpicture}[x=\unitLength,y=\unitLength]

% Triangle params
\def\AngleP{45}
\def\AngleQ{67}
\def\baseLen{6}     % base length between P and Q

% Third angle R is computed from the other two
\pgfmathsetmacro{\AngleR}{int(180-\AngleP-\AngleQ)}

\coordinate (P) at (0,0);
\coordinate (Q) at (\baseLen,0);

% Find vertex R using intersection of rays from P and Q
\path [name path=RayP, overlay] (P) -- (\AngleP:40);
\path [name path=RayQ, overlay] ++(Q) -- +(180-\AngleQ:40);
\path [name intersections={of=RayP and RayQ}]
(intersection-1) coordinate (R);

% Draw Triangle PQR
\draw (P) -- (R) -- (Q) -- cycle;

% Vertex labels
\node[vertex,label=225:$P$] at (P) {};
\node[vertex,label=315:$Q$] at (Q) {};
\node[vertex,label=90:$R$] at (R) {};

% Angle labels
\angleLabel[0.4in]{(P)}{0}{\AngleP}{0.5}{$45^\circ$}
\angleLabel[0.4in]{(Q)}{180}{180-\AngleQ}{0.5}{$67^\circ$}

\end{tikzpicture}
\end{document}",shubhra,81
Vishal,,Yes,No,,No,N/A,Yes,,Yes,Yes,Yes,,No,"right triangle PQR, angle P = 45 degrees, angle Q = 45 degrees, QR = 10, perpendicular line RS creating right angle S",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ZOoCS6nuUkgKDxrU7OmRAI7r59BAFj.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\def\unitLen{0.8in}

% Command to draw angle labels
\newcommand{\angleLabel}[6][0.4in]{%[labelDistance]{center}{startAngle}{endAngle}{positionRatio}{label}
     \centerarc[line width=0.5pt]#2(#3:#4:0.25in);
     \pgfmathsetmacro{\labelAngle}{#5*(#3)+(1-#5)*(#4)}; 
     \node at ($#2+(\labelAngle:#1)$) {#6};
}

\begin{tikzpicture}[x=\unitLen,y=\unitLen]

% Define triangle vertices
\coordinate (P) at (0,0);
\coordinate (Q) at (2.5,0);
\coordinate (R) at (0,2.5);

% Point S on QR where perpendicular from P meets QR
\coordinate (S) at (1.25,1.25);

% Draw the main triangle PQR
\draw (P) -- (Q) -- (R) -- cycle;

% Draw the perpendicular line PS
\draw[thick, blue] (P) -- (S);

% Draw right angle markers
\draw[line width=0.5pt] (P) rectangle (0.15,0.15);
\draw[line width=0.5pt] (S) +(-0.08,0.08) -- +(-0.08,-0.08) -- +(0.08,-0.08);

% Label the vertices
\node[vertex, label=below left:P] at (P) {};
\node[vertex, label=below right:Q] at (Q) {};
\node[vertex, label=above right:R] at (R) {};
\node[vertex, label=above left:S] at (S) {};

% Label the angles
\angleLabel[0.3in]{(P)}{0}{45}{0.5}{$45°$}
\angleLabel[0.3in]{(Q)}{135}{180}{0.5}{$45°$}

% Label the side QR = 10
\path (Q) -- (R) node[pos=0.5, above right, xshift=2pt, yshift=2pt] {$10$};

\end{tikzpicture}
\end{document}",vishal,82
Shubhra,,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,Yes,,No,"triangle ABC and three other congruent triangles DEF, GHI, JKL arranged in a rotation pattern",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-7tyfGq1KHxkkvfqXlw3wg7hELaR7j9.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1in,y=1in]
\clip(-2.5,-2.5) rectangle (2.5,2.5);

% Original triangle ABC at center
\draw[thick, fill=LBlue] (0,0.8) -- (-0.7,-0.4) -- (0.7,-0.4) -- cycle;
\node[above] at (0,0.8) {A};
\node[below left] at (-0.7,-0.4) {B};
\node[below right] at (0.7,-0.4) {C};

% Triangle DEF - rotated 90 degrees clockwise
\begin{scope}[rotate around={90:(0,0)}, shift={(1.5,0)}]
\draw[thick, fill=LBlue] (0,0.8) -- (-0.7,-0.4) -- (0.7,-0.4) -- cycle;
\node[above] at (0,0.8) {D};
\node[below left] at (-0.7,-0.4) {E};
\node[below right] at (0.7,-0.4) {F};
\end{scope}

% Triangle GHI - rotated 180 degrees
\begin{scope}[rotate around={180:(0,0)}, shift={(1.5,0)}]
\draw[thick, fill=LBlue] (0,0.8) -- (-0.7,-0.4) -- (0.7,-0.4) -- cycle;
\node[above] at (0,0.8) {G};
\node[below left] at (-0.7,-0.4) {H};
\node[below right] at (0.7,-0.4) {I};
\end{scope}

% Triangle JKL - rotated 270 degrees clockwise
\begin{scope}[rotate around={270:(0,0)}, shift={(1.5,0)}]
\draw[thick, fill=LBlue] (0,0.8) -- (-0.7,-0.4) -- (0.7,-0.4) -- cycle;
\node[above] at (0,0.8) {J};
\node[below left] at (-0.7,-0.4) {K};
\node[below right] at (0.7,-0.4) {L};
\end{scope}

\end{tikzpicture}
\end{document}",shubhra,83
Shubhra,,Yes,Yes,,No,N/A,Yes,,Yes,Yes,Yes,,No,triangle showing base and height identification,triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-uExfIktDVNvi10xICjV9nd83SiITIB.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1in,y=1in]
\clip (-0.1,-0.1) rectangle (2.2,1.8);

% Draw the triangle filled with light blue
\draw[fill=LBlue] (0.2,0.3)--(1.8,0.3)--(1.0,1.5)--cycle;

% Draw the height (dashed line from apex to base)
\draw[dashed, thick] (1.0,1.5)--(1.0,0.3);

% Draw the right angle symbol at the base
\draw[line width=0.5pt] (1.0,0.3) rectangle ($(1.0,0.3)+(0.1,0.1)$);

% Label the base
\node[below] at (1.0,0.15) {base};
\draw[<->] (0.2,0.2)--(1.8,0.2);

% Label the height
\node[right] at (1.05,0.9) {height};

% Add ""Base and Height of a Triangle"" title
\node[above] at (1.0,1.7) {\textbf{Base and Height of a Triangle}};

\end{tikzpicture}

\end{document}",shubhra,84
Shubhra,,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,Yes,,Yes,"triangle, original and scaled copy 1.5x scale factor",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Q1tIxWrL0YfApSONG2X4MHkr7XqFr2.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1in,y=1in]

% Original triangle
\begin{scope}[xshift=0in]
\coordinate (A) at (0,0);
\coordinate (B) at (2,0);
\coordinate (C) at (1,1.5);
\draw (A) -- (B) -- (C) -- cycle;
\node [vertex,label=below left:{$A$}] at (A){};
\node [vertex,label=below right:{$B$}] at (B){};
\node [vertex,label=above:{$C$}] at (C){};
\node [above] at (1,0.8) {Original};
\end{scope}

% Scaled copy with 1.5x scale factor
\begin{scope}[xshift=4in]
\coordinate (A') at (0,0);
\coordinate (B') at (3,0);
\coordinate (C') at (1.5,2.25);
\draw (A') -- (B') -- (C') -- cycle;
\node [vertex,label=below left:{$A'$}] at (A'){};
\node [vertex,label=below right:{$B'$}] at (B'){};
\node [vertex,label=above:{$C'$}] at (C'){};
\node [above] at (1.5,1.2) {Scaled Copy};
\node [below] at (1.5,-0.3) {Scale Factor: 1.5};
\end{scope}

\end{tikzpicture}
\end{document}",shubhra,85
Shubhra,,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,Yes,,Yes,coordinate plane showing original triangle and its reflection across y-axis,triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-pPfzMhVxjPhnq9n39pMc5Ueq9WYCj9.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}
\begin{axis}[FourQuadrantGrid,
    width=\HalfPage,
    height=\HalfPage,
    xmin=-8,
    xmax=8,
    ymin=-6,
    ymax=6,
    xlabel={$x$},
    ylabel={$y$},
    xlabel style={yshift=-8pt},
    ylabel style={xshift=-8pt},
    xtick={-8,-6,-4,-2,0,2,4,6,8},
    ytick={-6,-4,-2,0,2,4,6},
    minor x tick num=1,
    minor y tick num=1]

% Original triangle
\addplot[thick, blue, fill=blue, fill opacity=0.3] coordinates {(2,1) (5,3) (3,4) (2,1)};

% Reflected triangle across y-axis
\addplot[thick, red, fill=red, fill opacity=0.3] coordinates {(-2,1) (-5,3) (-3,4) (-2,1)};

% Label vertices of original triangle
\node[vertex, label={below right:A}] at (2,1) {};
\node[vertex, label={above right:B}] at (5,3) {};
\node[vertex, label={above left:C}] at (3,4) {};

% Label vertices of reflected triangle
\node[vertex, label={below left:A'}] at (-2,1) {};
\node[vertex, label={above left:B'}] at (-5,3) {};
\node[vertex, label={above right:C'}] at (-3,4) {};

% Add dashed line for y-axis reflection
\addplot[dashed, thick, gray] coordinates {(0,-6) (0,6)};

\end{axis}
\end{tikzpicture}
\end{document}",shubhra,86
All (IRR),,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,Yes,,Yes,"coordinate plane with triangle ABC at A(1,2), B(3,1), C(2,4), grid lines showing",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-isCoCgiw6OmUqRYtbAZBcCAdbHx8ZA.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}
\begin{axis}[FirstQuadrantLabeled,
    width=\HalfPage,
    height=\HalfPage,
    xmin=0,
    xmax=6,
    ymin=0,
    ymax=6,
    xlabel={$x$},
    ylabel={$y$},
    xlabel style={yshift=-8pt},
    ylabel style={xshift=-8pt},
    xtick={0,1,2,3,4,5,6},
    ytick={0,1,2,3,4,5,6},
    grid=both,
    minor tick num=0]

% Draw triangle ABC
\draw[thick] (1,2) -- (3,1) -- (2,4) -- cycle;

% Plot vertices and labels
\node[bigvertex, label={above left:A}] at (1,2) {};
\node[bigvertex, label={below right:B}] at (3,1) {};
\node[bigvertex, label={above right:C}] at (2,4) {};

\end{axis}
\end{tikzpicture}
\end{document}",irr_consensus,87
Rebecca,,Yes,No,N/A,Yes,,Yes,,Yes,No,Yes,,Yes,"two triangles that look similar but have different side lengths, one with sides 3,4,5 and another with sides 6,8,10",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-JfI9YMS8A1yfjzEOOmvQUeMPlQLpGR.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}[x=0.8in,y=0.8in]

% First triangle with sides 3, 4, 5
\begin{scope}[shift={(-1.5,0)}]
\coordinate (A) at (0,0);
\coordinate (B) at (3,0);
\coordinate (C) at (0,4);

\draw [Blue, line width=1.5pt] (A)--(B) node[midway,below] {3};
\draw [Blue, line width=1.5pt] (B)--(C) node[midway,right] {5};
\draw [Blue, line width=1.5pt] (C)--(A) node[midway,left] {4};

\node[vertex,label=225:$A$] at (A) {};
\node[vertex,label=315:$B$] at (B) {};
\node[vertex,label=135:$C$] at (C) {};
\end{scope}

% Second triangle with sides 6, 8, 10 (scaled version)
\begin{scope}[shift={(2,0)}]
\coordinate (D) at (0,0);
\coordinate (E) at (6,0);
\coordinate (F) at (0,8);

\draw [Red, line width=1.5pt] (D)--(E) node[midway,below] {6};
\draw [Red, line width=1.5pt] (E)--(F) node[midway,right] {10};
\draw [Red, line width=1.5pt] (F)--(D) node[midway,left] {8};

\node[vertex,label=225:$D$] at (D) {};
\node[vertex,label=315:$E$] at (E) {};
\node[vertex,label=135:$F$] at (F) {};
\end{scope}

\end{tikzpicture}
\end{document}",rebecca,88
Vishal,,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,Yes,,Yes,coordinate plane with two similar triangles,triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-azA2qR1sTLPbWvC2O55CKAmZvN7NCe.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}
\begin{axis}[FourQuadrantGrid,width=\HalfPage,height=\HalfPage,xmin=-2,xmax=12,ymin=-2,ymax=10,xlabel={$x$},ylabel={$y$},xlabel style={yshift=-8pt},ylabel style={xshift=-8pt},xtick={-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12},ytick={-2,-1,0,1,2,3,4,5,6,7,8,9,10},minor x tick num=0,minor y tick num=0]

% First triangle ABC
\draw [line width=1.5pt, Blue] (1,1) -- (3,1) -- (2,3) -- cycle;
\node[vertex,label={below left:A}] at (1,1) {};
\node[vertex,label={below right:B}] at (3,1) {};
\node[vertex,label={above:C}] at (2,3) {};

% Second similar triangle DEF (scaled by factor of 2)
\draw [line width=1.5pt, Red] (6,2) -- (10,2) -- (8,6) -- cycle;
\node[vertex,label={below left:D}] at (6,2) {};
\node[vertex,label={below right:E}] at (10,2) {};
\node[vertex,label={above:F}] at (8,6) {};

\end{axis}
\end{tikzpicture}
\end{document}",vishal,89
Vishal,,Yes,Yes,,No,N/A,Yes,,Yes,Yes,Yes,,Yes,"triangle with angles 65°, 47°, and unknown angle",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ciYQAJxejr7GUBhh4DNGElHKACscvx.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\def\unitLength{0.25in} 

% Command to draw angle labels
\newcommand{\angleLabel}[6][0.4in]{%[labelDistance]{center}{startAngle}{endAngle}{positionRatio}{label}
     \centerarc[line width=0.5pt]#2(#3:#4:0.25in);
     \pgfmathsetmacro{\labelAngle}{#5*(#3)+(1-#5)*(#4)}; 
     \node at ($#2+(\labelAngle:#1)$) {#6};
}

\begin{tikzpicture}[x=\unitLength,y=\unitLength]

% Triangle parameters
\def\AngleOne{65}
\def\baseLen{7}     % base length (in units)
\def\AngleTwo{47}

% Third angle is computed from the other two
\pgfmathsetmacro{\AngleThree}{int(180-\AngleOne-\AngleTwo)}

\coordinate (leftPt) at (0,0);
\coordinate (rightPt) at (\baseLen,0);

% Find top vertex
\path [name path=RayOne, overlay]   (leftPt) -- (\AngleOne:40);
\path [name path=RayTwo, overlay]   ++(rightPt) -- +(180-\AngleTwo:40);
\path [name intersections={of=RayOne and RayTwo}]
(intersection-1) coordinate (topPt);

% Draw Triangle
\draw (leftPt) -- (topPt) -- (rightPt) -- cycle;

% Angle labels
\angleLabel[0.4in]{(leftPt)}{0}{\AngleOne}{0.5}{$65^\circ$}
\angleLabel[0.4in]{(rightPt)}{180}{180-\AngleTwo}{0.5}{$47^\circ$}
\angleLabel[0.4in]{(topPt)}{180+\AngleOne}{180+\AngleOne+\AngleThree}{0.5}{$?$}

\end{tikzpicture}
\end{document}",vishal,90
Shubhra,,Yes,No,N/A,No,N/A,Yes,,No,Yes,Yes,,Yes,reflection of triangle across a line,triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-pnMW0Agg12xvgteNvhColHqQoNH8Ed.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1in,y=1in]
\clip(-\HP/2,-1.5) rectangle (\HP/2,1.5);

% Line of reflection (vertical line)
\draw[thick, dashed] (0,-1.5) -- (0,1.5);
\node at (0.2,1.3) {$m$};

% Original triangle ABC (left side)
\node[vertex,label=above left:$A$] at (-1.5,0.5) {};
\node[vertex,label=below left:$B$] at (-2,-1) {};
\node[vertex,label=below right:$C$] at (-0.5,-1) {};

\draw[thick, blue] (-1.5,0.5) -- (-2,-1) -- (-0.5,-1) -- cycle;

% Reflected triangle A'B'C' (right side)
\node[vertex,label=above right:$A'$] at (1.5,0.5) {};
\node[vertex,label=below right:$B'$] at (2,-1) {};
\node[vertex,label=below left:$C'$] at (0.5,-1) {};

\draw[thick, red] (1.5,0.5) -- (2,-1) -- (0.5,-1) -- cycle;

% Dashed lines showing the reflection relationship
\draw[dotted, gray] (-1.5,0.5) -- (1.5,0.5);
\draw[dotted, gray] (-2,-1) -- (2,-1);
\draw[dotted, gray] (-0.5,-1) -- (0.5,-1);

\end{tikzpicture}

\end{document}",shubhra,91
Vishal,,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,Yes,,Yes,"Coordinate grid showing triangle with vertices at (1,1), (3,1), (2,3) for scaling practice",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-jLnIw1UXSMMr6HZYqZEVDWql5VfbQp.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}
\begin{axis}[FirstQuadrantLabeled,width=\HalfPage,height=\HalfPage,xmin=0,xmax=5,ymin=0,ymax=4,xlabel={$x$},ylabel={$y$},xlabel style={yshift=-8pt},ylabel style={xshift=-8pt},xtick={0,1,2,3,4,5},ytick={0,1,2,3,4},grid=both]

\coordinate (A) at (1,1);
\coordinate (B) at (3,1);
\coordinate (C) at (2,3);

\draw[line width=1.5pt] (A) -- (B) -- (C) -- (A);

\node[vertex,label=below left:{A}] at (A) {};
\node[vertex,label=below right:{B}] at (B) {};
\node[vertex,label=above:{C}] at (C) {};

\end{axis}
\end{tikzpicture}
\end{document}",vishal,92
Vishal,,Yes,Yes,,Yes,,Yes,,Yes,Yes,No,,Yes,"two triangles side by side, Triangle ABC with sides 3, 4, 5 and Triangle DEF with sides 6, 8, 10",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-9zZFocfm3YguZFBfsvIZdEPoTzvOlL.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[scale=0.8]

% Triangle ABC with sides 3, 4, 5
\begin{scope}[xshift=0cm]
  \coordinate (A) at (0,0);
  \coordinate (B) at (3,0);
  \coordinate (C) at (0,4);
  
  \draw[thick] (A)--(B)--(C)--cycle;
  
  \node[vertex,label=below left:{$A$}] at (A) {};
  \node[vertex,label=below right:{$B$}] at (B) {};
  \node[vertex,label=above left:{$C$}] at (C) {};
  
  \node at (1.5,-0.3) {3};
  \node at (3.3,2) {5};
  \node at (-0.3,2) {4};
  
  \draw[right angle symbol={C}{A}{B}];
\end{scope}

% Triangle DEF with sides 6, 8, 10
\begin{scope}[xshift=6cm]
  \coordinate (D) at (0,0);
  \coordinate (E) at (6,0);
  \coordinate (F) at (0,8);
  
  \draw[thick] (D)--(E)--(F)--cycle;
  
  \node[vertex,label=below left:{$D$}] at (D) {};
  \node[vertex,label=below right:{$E$}] at (E) {};
  \node[vertex,label=above left:{$F$}] at (F) {};
  
  \node at (3,-0.3) {6};
  \node at (6.3,4) {10};
  \node at (-0.3,4) {8};
  
  \draw[right angle symbol={F}{D}{E}];
\end{scope}

\end{tikzpicture}

\end{document}",vishal,93
Vishal,,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,Yes,,Yes,"Triangle MNO, isosceles triangle",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-miWvHUhqEuCXiGssMzaVBhP3JN8y8Y.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}[x=0.9in,y=0.9in]

\coordinate (M) at (0,0);
\coordinate (N) at (2,0);
\coordinate (O) at (1,1.732);

\draw [line width = 1] (M) -- (N) -- (O) -- cycle;

\node[vertex,label=below left:$M$] at (M) {};
\node[vertex,label=below right:$N$] at (N) {};
\node[vertex,label=above:$O$] at (O) {};

\end{tikzpicture}
\end{document}",vishal,94
Vishal,,Yes,Yes,,No,N/A,Yes,,Yes,Yes,Yes,,Yes,"triangle ABC with angle A = 65°, angle B = 48°, angle C = ?",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-etbOEAXFBE3qFodEtkKvHpcx8H5Agk.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\def\unitLength{0.5in}

% Command to draw angle labels
\newcommand{\angleLabel}[6][0.4in]{%[labelDistance]{center}{startAngle}{endAngle}{positionRatio}{label}
     \centerarc[line width=0.5pt]#2(#3:#4:0.25in);
     \pgfmathsetmacro{\labelAngle}{#5*(#3)+(1-#5)*(#4)}; 
     \node at ($#2+(\labelAngle:#1)$) {#6};
}

\begin{tikzpicture}[x=\unitLength,y=\unitLength]

% Triangle parameters
\def\AngleA{65}
\def\AngleB{48}
\def\sideLength{4}

% Calculate angle C
\pgfmathsetmacro{\AngleC}{int(180-\AngleA-\AngleB)}

% Define vertices
\coordinate (A) at (0,0);
\coordinate (B) at (\sideLength,0);

% Find vertex C using intersection of rays
\path [name path=RayFromA, overlay] (A) -- (\AngleA:10);
\path [name path=RayFromB, overlay] (B) -- +(180-\AngleB:10);
\path [name intersections={of=RayFromA and RayFromB}]
(intersection-1) coordinate (C);

% Draw the triangle
\draw (A) -- (B) -- (C) -- cycle;

% Add vertex labels
\node[vertex, label=below left:A] at (A) {};
\node[vertex, label=below right:B] at (B) {};
\node[vertex, label=above:C] at (C) {};

% Add angle labels
\angleLabel[0.45in]{(A)}{0}{\AngleA}{0.5}{$65°$}
\angleLabel[0.45in]{(B)}{180}{180-\AngleB}{0.5}{$48°$}
\angleLabel[0.45in]{(C)}{180+\AngleA}{180+\AngleA+\AngleC}{0.5}{$?$}

\end{tikzpicture}
\end{document}",vishal,95
Vishal,,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,Yes,,Yes,triangle with one side labeled b as base,triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Yfz3UgCl9MqG9sS6r6RZvZpgS2pm4n.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=0.9in,y=0.9in]
\clip (-0.05,-0.15) rectangle (2.25,1.5);

\begin{scope} 

\draw (0,0)--(2.2,1.4)--(1.7,0)--cycle;

\node at (0.85,0.15) {$b$};

\end{scope}

\end{tikzpicture}
\end{document}",vishal,96
Rebecca,,Yes,No,,No,N/A,Yes,,Yes,Yes,Yes,,No,"right triangle DEF, angle D = 30 degrees, angle E = 30 degrees, EF = 16, perpendicular line FG creating right angle G",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-rwTPdTwVt9VpSZpoDpspbTNjGLRtQv.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=0.3in,y=0.3in]

% Define the vertices of the triangle
\coordinate (D) at (0,0);
\coordinate (E) at (8,0);
\coordinate (F) at (4,{4*sqrt(3)});

% Define point G on side DE such that FG is perpendicular to DE
\coordinate (G) at (4,0);

% Draw the triangle DEF
\draw[thick] (D) -- (E) -- (F) -- cycle;

% Draw the perpendicular line FG
\draw[thick, dashed] (F) -- (G);

% Draw right angle symbol at G
\draw[right angle symbol={F}{G}{D}];

% Label the vertices
\node[below left] at (D) {$D$};
\node[below right] at (E) {$E$};
\node[above] at (F) {$F$};
\node[below] at (G) {$G$};

% Mark the 30-degree angles at D and E
\drawarc[](D)(0:60:0.4in);
\node at (0.7,0.2) {$30°$};

\drawarc[](E)(120:180:0.4in);
\node at (7.3,0.2) {$30°$};

% Label side EF with length 16
\node[above right, midway] at ($(E)!0.5!(F)$) {$16$};

% Add vertices
\node[vertex] at (D) {};
\node[vertex] at (E) {};
\node[vertex] at (F) {};
\node[vertex] at (G) {};

\end{tikzpicture}
\end{document}",rebecca,97
Shubhra,,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,,No,"Triangle GHI, obtuse triangle",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-JtegaIYzv5rzFv3yC4hlVrBC2SVCvn.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=0.5in,y=0.5in]

% Define the vertices of the obtuse triangle GHI
% Making angle H obtuse (greater than 90 degrees)
\coordinate (G) at (0,0);
\coordinate (H) at (3,0); 
\coordinate (I) at (1,2.5);

% Draw the triangle
\draw [line width = 1pt] (G)--(H)--(I)--cycle;

% Add vertex labels
\node[vertex,label=225:$G$] at (G) {};
\node[vertex,label=315:$H$] at (H) {};
\node[vertex,label=90:$I$] at (I) {};

% Mark the obtuse angle at vertex H
\drawarc[line width=0.4pt](H)(135:45:0.6cm);

\end{tikzpicture}
\end{document}",shubhra,98
Vishal,,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,,No,"right triangle, ramp, hypotenuse 7 meters, vertical height 2.5 meters, angle z at ground",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-dcLtABmDpcWundJuWxOGX7KGi2A63r.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1.5in,y=1.5in]

\clip (0,0) rectangle (2.5,1.8);
\begin{scope}[xshift=0.3in, yshift=0.2in, scale=0.3]

% Calculate the base using Pythagorean theorem
% hypotenuse = 7, height = 2.5
% base = sqrt(7^2 - 2.5^2) = sqrt(49 - 6.25) = sqrt(42.75) ≈ 6.538

\coordinate (A) at (0,0);
\coordinate (B) at (6.538,0);
\coordinate (C) at (0,2.5);

% Draw the triangle
\draw (A) -- node[below] {base} (B) -- node[above right] {$7$ m} (C) -- node[left] {$2.5$ m} (A);

% Draw right angle symbol
\draw[thin] (0,0.3) -- (0.3,0.3) -- (0.3,0);

% Draw angle z at ground (bottom right vertex)
\drawarc[](B)(160:180:1.5cm);
\node at (5.8,0.3) {$z$};

% Add vertices
\node[vertex] at (A) {}; 
\node[vertex] at (B) {}; 
\node[vertex] at (C) {};

\end{scope}

\end{tikzpicture}
\end{document}",vishal,99
