assigned_to,Mathematical,Shape(s) is closed,Labeled angles (if any) match drawn angle,Applicable - Labeled angles (if any) match drawn angle,Labeled lengths and areas (if any) match visual proportions,Applicable - Labeled lengths and areas (if any) match visual proportions,Core math properties of the shape(s) are correct,Spatial,Diagram is fully in frame,Diagram elements are scaled to be readable,Labels (if any) are associated with correct elements,Applicable - Labels (if any) are associated with correct elements,Diagram elements don't problematically overlap,prompt,subcategory,image,tikz
All (IRR),,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,"triangle, base 10 units, height 7 units, labeled",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-IqJFsv7kMpGMOYozhT4LDB6zsOFctr.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=0.4in,y=0.4in]

\clip (-0.5,-0.5) rectangle (11.5,8);

% Draw the triangle with base 10 units and height 7 units
\draw[line width=1pt, fill=LBlue!30] (0,0) -- (10,0) -- (5,7) -- cycle;

% Draw the height as a dashed line
\draw[line width=0.5pt, dashed] (5,7) -- (5,0);

% Draw right angle symbol at the base
\draw[line width=0.5pt] (5,0) rectangle ($(5,0)+(0.3,0.3)$);

% Label the base
\node[below] at (5,-0.3) {base = 10 units};
\draw[<->] (0,-0.7) -- (10,-0.7);

% Label the height
\node[right] at (5.3,3.5) {height = 7 units};

% Add area label inside triangle
\node at (4,2.5) {Triangle};

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,Yes,,Yes,"coordinate plane with triangle ABC at A(1,2), B(3,1), C(2,4), grid lines showing",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-isCoCgiw6OmUqRYtbAZBcCAdbHx8ZA.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}
\begin{axis}[FirstQuadrantLabeled,
    width=\HalfPage,
    height=\HalfPage,
    xmin=0,
    xmax=6,
    ymin=0,
    ymax=6,
    xlabel={$x$},
    ylabel={$y$},
    xlabel style={yshift=-8pt},
    ylabel style={xshift=-8pt},
    xtick={0,1,2,3,4,5,6},
    ytick={0,1,2,3,4,5,6},
    grid=both,
    minor tick num=0]

% Draw triangle ABC
\draw[thick] (1,2) -- (3,1) -- (2,4) -- cycle;

% Plot vertices and labels
\node[bigvertex, label={above left:A}] at (1,2) {};
\node[bigvertex, label={below right:B}] at (3,1) {};
\node[bigvertex, label={above right:C}] at (2,4) {};

\end{axis}
\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,Yes,,Yes,"Triangle JKL, scalene triangle on coordinate grid",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-5eree6ffTGBEcnqbhgCP4zBE3q4P5V.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}
\begin{axis}[
    FirstQuadrantLabeled,
    width=\HalfPage,
    height=\HalfPage,
    xmin=0,
    xmax=10,
    ymin=0,
    ymax=10,
    xlabel={$x$},
    ylabel={$y$},
    xlabel style={yshift=-8pt},
    ylabel style={xshift=-8pt},
    xtick={0,1,2,3,4,5,6,7,8,9,10},
    ytick={0,1,2,3,4,5,6,7,8,9,10},
    minor x tick num=0,
    minor y tick num=0
]

\coordinate (J) at (2,1);
\coordinate (K) at (8,2);
\coordinate (L) at (4,7);

\draw[line width=1.5pt] (J) -- (K) -- (L) -- (J);

\node[vertex, label={below left:$J$}, fill=white, draw=black, thick, inner sep=1.5pt] at (J) {};
\node[vertex, label={below right:$K$}, fill=white, draw=black, thick, inner sep=1.5pt] at (K) {};
\node[vertex, label={above:$L$}, fill=white, draw=black, thick, inner sep=1.5pt] at (L) {};

\end{axis}
\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,Yes,,Yes,,Yes,Yes,Yes,,Yes,"pentagon enclosed in rectangle 8 cm by 6 cm, with three triangular corner pieces to subtract",rectangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Ur0NXzH21iPPZ6M5hygQtYLCX7lQ3C.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}[x=1cm,y=1cm]

% Draw the rectangle outline (8 cm by 6 cm)
\draw[line width=1.5pt] (0,0) rectangle (8,6);

% Draw the pentagon inside the rectangle
\draw[line width=1.5pt, fill=LBlue] (1,1) -- (3,1) -- (4,3) -- (2,5) -- (0.5,3) -- cycle;

% Draw the three triangular corner pieces to subtract
% Top-left corner triangle
\draw[line width=1.5pt, fill=red!30] (0,6) -- (0.5,6) -- (0,4.5) -- cycle;

% Top-right corner triangle  
\draw[line width=1.5pt, fill=red!30] (8,6) -- (8,4) -- (6.5,6) -- cycle;

% Bottom-right corner triangle
\draw[line width=1.5pt, fill=red!30] (8,0) -- (8,1.5) -- (6,0) -- cycle;

% Add dimension labels
\node[below] at (4,0) {8 cm};
\node[left] at (0,3) {6 cm};

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,Yes,,Yes,,Yes,Yes,Yes,,Yes,"two rectangles side by side, left rectangle labeled 'Rectangle A: 9 by 3', right rectangle labeled 'Rectangle B: 4.5 by 1.5', show Rectangle B is smaller",rectangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-iO2iwRLDh4xW0Do2dc6ZiFe5tV5Cd8.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1cm,y=1cm]

% Rectangle A (9 by 3)
\draw[fill=LBlue, thick] (0,0) rectangle (4.5,1.5);
\node[above] at (2.25,1.8) {Rectangle A: 9 by 3};
\node[left] at (-0.1,0.75) {3};
\node[below] at (2.25,-0.2) {9};

% Rectangle B (4.5 by 1.5) - positioned to the right
\draw[fill=LYellow, thick] (6,0) rectangle (8.25,0.75);
\node[above] at (7.125,1.1) {Rectangle B: 4.5 by 1.5};
\node[left] at (5.9,0.375) {1.5};
\node[below] at (7.125,-0.2) {4.5};

\end{tikzpicture}

\end{document}"
All (IRR),,Yes,No,N/A,Yes,,Yes,,Yes,Yes,Yes,,Yes,"rectangles showing factor pairs of 12: 1x12, 2x6, 3x4 rectangles drawn with grid squares",rectangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-zfXEapBeTEVvKK7V1dtWbWOc0IQamw.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\def\gridSep{0.3in}

\begin{tikzpicture}[x=\gridSep,y=\gridSep]

% Rectangle 1: 1 x 12
\begin{scope}[shift={(0,0)}]
\draw[line width=0.5pt] (0,0) grid[step=1] (1,12);
\draw[line width=1pt] (0,0) rectangle (1,12);
\node[above] at (0.5,12.5) {$1 \times 12$};
\end{scope}

% Rectangle 2: 2 x 6
\begin{scope}[shift={(2.5,0)}]
\draw[line width=0.5pt] (0,0) grid[step=1] (2,6);
\draw[line width=1pt] (0,0) rectangle (2,6);
\node[above] at (1,6.5) {$2 \times 6$};
\end{scope}

% Rectangle 3: 3 x 4
\begin{scope}[shift={(5.5,0)}]
\draw[line width=0.5pt] (0,0) grid[step=1] (3,4);
\draw[line width=1pt] (0,0) rectangle (3,4);
\node[above] at (1.5,4.5) {$3 \times 4$};
\end{scope}

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,N/A,Yes,rectangular grid showing 4x6 rectangle with unit squares,rectangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-vNEBqH1iNqTVmoic1mqo2SMFMnftk2.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=0.5in, y=0.5in]
\draw[step=1, fill=LBlue] (0,0) grid (6,4);
\draw[line width=1.5pt] (0,0) rectangle (6,4);
\end{tikzpicture}

\end{document}"
All (IRR),,Yes,No,N/A,Yes,,Yes,,Yes,Yes,Yes,,Yes,"rectangle with tick marks, 8 meters long by 4 meters wide, tick marks 1 meter apart on all sides",rectangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-MYFFwNlRBUPvjQVGJoj9qhKaB5XpuN.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[scale=0.75]
% Draw the main rectangle
\draw[thick] (0,0) rectangle (8,4);

% Add tick marks on bottom edge (every 1 meter)
\foreach \x in {0,1,2,3,4,5,6,7,8} {
    \draw (\x,-0.1) -- (\x,0.1);
}

% Add tick marks on top edge (every 1 meter)
\foreach \x in {0,1,2,3,4,5,6,7,8} {
    \draw (\x,3.9) -- (\x,4.1);
}

% Add tick marks on left edge (every 1 meter)
\foreach \y in {0,1,2,3,4} {
    \draw (-0.1,\y) -- (0.1,\y);
}

% Add tick marks on right edge (every 1 meter)
\foreach \y in {0,1,2,3,4} {
    \draw (7.9,\y) -- (8.1,\y);
}

% Add dimension labels
\draw (4,4) node[above] {8 meters};
\draw (8,2) node[right] {4 meters};

\end{tikzpicture}

\end{document}"
All (IRR),,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,No,N/A,Yes,empty grid template 6x4 for students to draw rectangles,rectangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-mnf5RVmDw3vns4rM5Xjpk2ktcdIMUJ.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=0.5in,y=0.5in]

%% Grid dimensions: 6 units wide by 4 units tall
\def\widthparts{6}
\def\heightparts{4}

%% Clip around the grid to remove unnecessary white space
\clip (-0.05,-0.05) rectangle (\widthparts+0.05,\heightparts+0.05);

%% Draw the grid with gray lines
\draw[line width=0.5pt,black!70] (0,0) grid[step=1] (\widthparts,\heightparts);

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,Yes,,Yes,,Yes,Yes,Yes,,Yes,"rectangle decomposition, 6 by 4 rectangle split into two 3 by 4 rectangles",rectangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-pnv5GPEBXXvvPO53g4RGRXp1AANmPl.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=0.5in,y=0.5in]

% Draw the outer 6 by 4 rectangle
\draw[line width=1pt] (0,0) rectangle (6,4);

% Draw the vertical line splitting the rectangle into two 3 by 4 rectangles
\draw[line width=1pt] (3,0) -- (3,4);

% Label the dimensions
% Width labels on top
\path (0,4) -- (3,4) node[above, pos=0.5] {3};
\path (3,4) -- (6,4) node[above, pos=0.5] {3};

% Height labels on the sides
\path (0,0) -- (0,4) node[left, pos=0.5] {4};
\path (6,0) -- (6,4) node[right, pos=0.5] {4};

% Total width label at bottom
\path (0,0) -- (6,0) node[below, pos=0.5] {6};

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,Yes,,Yes,,Yes,Yes,Yes,,Yes,"rectangle PQRS with diagonal PR, 12 cm by 6 cm",rectangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-1H9r1Yrv8hbK5RvmluzjQPMeOZjLNT.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}[scale=0.4]
% Draw the rectangle PQRS (12 cm by 6 cm)
\draw[thick] (0,0) rectangle (12,6);

% Draw the diagonal PR
\draw[thick] (0,0) -- (12,6);

% Label the vertices
\node[below left] at (0,0) {P};
\node[below right] at (12,0) {Q};
\node[above right] at (12,6) {R};
\node[above left] at (0,6) {S};

% Label the dimensions
\node[below] at (6,0) {12 cm};
\node[left] at (0,3) {6 cm};
\end{tikzpicture}
\end{document}"
