diagram_id,model,main_category,subcategory,extraction_success,extraction_time_ms,prompt_tokens,completion_tokens,evaluation_time_ms,overall_score,overall_pass,angle_labels_matches_arcs_passed,angle_labels_matches_arcs_message,diagram_fully_in_canvas_passed,diagram_fully_in_canvas_message,labels_associated_with_elements_passed,labels_associated_with_elements_message,diagram_elements_dont_problematically_overlap_passed,diagram_elements_dont_problematically_overlap_message,diagram_elements_are_readable_size_passed,diagram_elements_are_readable_size_message,shape_outlines_are_closed_passed,shape_outlines_are_closed_message,core_mathematical_properties_of_shapes_correct_passed,core_mathematical_properties_of_shapes_correct_message,labeled_lengths_areas_match_proportions_passed,labeled_lengths_areas_match_proportions_message,schema_validation_passed,schema_validation_message
11,gpt-4.1-mini,2d shapes,triangle,True,2314.639875010471,3101,103,7.310625005629845,1.0,True,N/A,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (3 total): Label 'R' -> segment (distance=0.0pt); Label 'S' -> segment (distance=0.0pt); Label 'T' -> segment (distance=0.0pt) (ties noted: Text label 'R' ties elements (difference=0.0pt); Text label 'S' ties elements (difference=0.0pt) (+1 more ties)),True,No problematic overlaps detected,True,All elements >= 0.7pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,No numeric labels to check,,
12,gpt-4.1-mini,2d shapes,triangle,True,5034.518250002293,3491,415,18.8562080002157,0.75,False,False,"Right-angle symbol at (31.3, 2.8) does not align with two diagram edges; Right-angle symbol at (19.9, 5.7) does not align with two diagram edges; Right-angle symbol at (5.7, 11.4) does not align with two diagram edges",True,No canvas constraints applied,True,Labels assigned (3 total): Label 'h_1' -> segment (distance=0.0pt); Label 'h_2' -> segment (distance=0.0pt); Label 'h_3' -> segment (distance=0.3pt) (ties noted: Numeric label 'h_1' ties edges (difference=0.0pt); Numeric label 'h_3' ties edges (difference=0.0pt)),True,No problematic overlaps detected,True,All elements >= 0.7pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,False,"Length proportion mismatch: ((no id), label=1) vs ((no id), label=2) → rel. error 0.794; Length proportion mismatch: ((no id), label=1) vs ((no id), label=3) → rel. error 0.941; Length proportion mismatch: ((no id), label=1) vs ((no id), label=2) → rel. error 0.794 (+10 more)",,
13,gpt-4.1-mini,2d shapes,triangle,True,3616.608958996949,3138,198,5.943583004409447,0.875,False,True,No angle labels present; Right-angle symbols consistent,True,No canvas constraints applied,True,Labels assigned (2 total): Label '5 units' -> segment (distance=1.4pt); Label '5 units' -> shape_edge (triangle) (distance=0.0pt) (ties noted: Numeric label '5 units' ties edges (difference=2.8pt); Numeric label '5 units' ties edges (difference=1.4pt)),False,Node '5 units' sits directly on top of a diagram edge,True,All elements >= 0.7pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,True,Labeled lengths/areas match measured proportions,,
14,gpt-4.1-mini,2d shapes,triangle,True,8316.93820800865,3351,502,10.117915997398086,0.5,False,N/A,No angle labels or right-angle symbols to evaluate,False,"shapes bbox ((-144.5, -36.1) to (0.0, 144.5)) exceeds canvas allowance (+/- 5.0pt)",True,Labels assigned (3 total): Label 'Q' -> shape (polygon) (inside shape); Label 'P' -> shape (polygon) (inside shape); Label 'R' -> shape (polygon) (inside shape),False,"Arc start endpoint (115.6, 72.3) is 21.7pt from nearest edge; Arc end endpoint (94.0, 94.0) is 21.7pt from nearest edge; Arc start endpoint (50.6, 115.6) is 21.7pt from nearest edge (+5 more)",False,Elements below readability threshold 2.9pt: line segment (0.0pt); line segment (0.0pt); line segment (0.0pt) (+1 more),True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,No numeric labels to check,,
15,gpt-4.1-mini,2d shapes,triangle,True,3910.513416994945,3448,208,4.577874991809949,1.0,True,N/A,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (6 total): Label 'A_1' -> shape_edge (triangle) (distance=0.0pt); Label 'B_1' -> shape_edge (triangle) (distance=0.0pt); Label 'C_1' -> shape_edge (triangle) (distance=0.0pt); Label 'A_2' -> shape_edge (triangle) (distance=0.0pt); Label 'B_2' -> shape_edge (triangle) (distance=0.0pt); Label 'C_2' -> shape_edge (triangle) (distance=0.0pt),True,No problematic overlaps detected,True,All elements >= 2.4pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,Not enough labeled pairs to compare proportions,,
16,gpt-4.1-mini,2d shapes,triangle,True,9622.974583005998,3126,423,9.00108300265856,0.42857142857142855,False,False,Angle label 'A = 48°' is 300.1pt from nearest arc,False,"node bbox ((393.0, 33.1) to (420.1, 39.1)) exceeds canvas allowance (+/- 5.0pt)",False,Angle label 'A = 48°' is 300.1pt from nearest arc (limit 55.0pt),False,"Arc start endpoint (92.9, 32.6) is 7.1pt from nearest edge",True,All elements >= 0.8pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,No numeric labels to check,,
17,gpt-4.1-mini,2d shapes,triangle,True,5819.654959006584,3273,334,11.151791986776516,0.8571428571428571,False,N/A,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (8 total): Label 'Triangle 1' -> segment (distance=6.2pt); Label 'Triangle 2' -> segment (distance=6.2pt); Label 'Area = 1 square unit' -> shape_edge (triangle) (distance=7.2pt); Label 'Area = 1.5 square units' -> shape_edge (triangle) (distance=7.2pt); Label 'base = 1' -> segment (distance=0.0pt); Label 'height = 2' -> segment (distance=0.0pt); Label 'base = 3' -> segment (distance=0.0pt); Label 'height = 1' -> segment (distance=0.0pt) (ties noted: Numeric label 'Triangle 1' ties edges (difference=1.1pt); Numeric label 'Triangle 2' ties edges (difference=1.1pt)),True,No problematic overlaps detected,True,All elements >= 1.9pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,False,"Length proportion mismatch: ((no id), label=1) vs ((no id), label=2) → rel. error 0.333; Length proportion mismatch: ((no id), label=1) vs ((no id), label=1) → rel. error 0.500; Length proportion mismatch: ((no id), label=1) vs ((no id), label=1.5) → rel. error 0.500 (+14 more)",,
18,gpt-4.1-mini,2d shapes,triangle,True,4698.466542002279,3110,148,11.230624993913807,0.7142857142857143,False,N/A,No angle indicators to check,True,Diagram is fully in canvas,True,Labels assigned (5 total): Label 'A' -> segment (distance=0.0pt); Label 'B' -> segment (distance=0.0pt); Label 'C' -> segment (distance=0.0pt); Label '8' -> segment (distance=0.0pt); Label '6' -> segment (distance=8.4pt) (ties noted: Text label 'A' ties elements (difference=0.0pt); Text label 'B' ties elements (difference=0.0pt) (+1 more ties)),False,Node '8' sits directly on top of a diagram edge,True,All elements >= 1.7pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,False,"Length proportion mismatch: ((no id), label=8) vs ((no id), label=6) → rel. error 0.250",,
19,gpt-4.1-mini,2d shapes,triangle,True,2105.5667080072453,2998,87,2.3912499891594052,1.0,True,N/A,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (3 total): Label 'A' -> shape (polygon) (inside shape); Label 'B' -> shape (polygon) (inside shape); Label 'C' -> shape (polygon) (inside shape),True,No problematic overlaps detected,True,All elements >= 0.9pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,No numeric labels to check,,
20,gpt-4.1-mini,2d shapes,triangle,True,2145.7237499998882,3123,139,9.204000001773238,1.0,True,N/A,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (3 total): Label 'P' -> shape (triangle) (inside shape); Label 'Q' -> shape (triangle) (inside shape); Label 'R' -> shape (triangle) (inside shape),True,No problematic overlaps detected,True,All elements >= 1.0pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,No numeric labels to check,,
21,gpt-4.1-mini,2d shapes,triangle,True,3152.687583002262,3370,200,11.839041995699517,1.0,True,N/A,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (6 total): Label 'A' -> segment (distance=0.0pt); Label 'B' -> segment (distance=0.0pt); Label 'C' -> segment (distance=0.0pt); Label 'A'' -> segment (distance=0.0pt); Label 'B'' -> segment (distance=0.0pt); Label 'C'' -> segment (distance=0.0pt) (ties noted: Text label 'A' ties elements (difference=0.0pt); Text label 'B' ties elements (difference=0.0pt) (+4 more ties)),True,No problematic overlaps detected,True,All elements >= 1.8pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,No numeric labels to check,,
22,gpt-4.1-mini,2d shapes,triangle,True,6074.844624992693,3306,202,4.7910419962136075,1.0,True,N/A,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (2 total): Label 'base = 12 units' -> segment (distance=0.0pt); Label 'height = 8 units' -> shape_edge (polygon) (distance=7.4pt),True,No problematic overlaps detected,True,All elements >= 2.5pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,Not enough labeled pairs to compare proportions,,
23,gpt-4.1-mini,2d shapes,triangle,True,3692.6874999917345,3110,194,8.859875000780448,1.0,True,True,No angle labels present; Right-angle symbols consistent,True,Diagram is fully in canvas,True,Labels assigned (2 total): Label '8' -> segment (distance=8.4pt); Label '5' -> segment (distance=7.2pt),True,No problematic overlaps detected,True,All elements >= 2.1pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,True,Labeled lengths/areas match measured proportions,,
24,gpt-4.1-mini,2d shapes,triangle,True,2378.1216250063153,3102,103,8.240834009484388,1.0,True,N/A,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (3 total): Label 'D' -> segment (distance=0.0pt); Label 'E' -> segment (distance=0.0pt); Label 'F' -> segment (distance=0.0pt) (ties noted: Text label 'D' ties elements (difference=0.0pt); Text label 'E' ties elements (difference=0.0pt) (+1 more ties)),True,No problematic overlaps detected,True,All elements >= 0.7pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,No numeric labels to check,,
25,gpt-4.1-mini,2d shapes,triangle,False,2712.2050000034506,3092,201,9.78970801224932,0.8571428571428571,False,N/A,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (3 total): Label 'A' -> segment (distance=0.0pt); Label 'B' -> segment (distance=0.0pt); Label '4 units' -> segment (distance=4.3pt),True,No problematic overlaps detected,True,All elements >= 0.2pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,Not enough labeled pairs to compare proportions,False,"Schema validation failed: 2 validation errors for TikzIR
nodes.0.text
  Field required [type=missing, input_value={'at': [0, 0], 'fill': 'black'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
nodes.1.text
  Field required [type=missing, input_value={'at': [4, 0], 'fill': 'black'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing"
26,gpt-4.1-mini,2d shapes,triangle,True,3631.2760829896433,3394,176,4.717582996818237,1.0,True,N/A,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (6 total): Label 'A' -> shape (triangle) (inside shape); Label 'B' -> shape (triangle) (inside shape); Label 'C' -> shape (triangle) (inside shape); Label 'A'' -> shape (triangle) (inside shape); Label 'B'' -> shape (triangle) (inside shape); Label 'C'' -> shape (triangle) (inside shape),True,No problematic overlaps detected,True,All elements >= 2.4pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,No numeric labels to check,,
27,gpt-4.1-mini,2d shapes,triangle,True,3539.6084999956656,3160,202,2.333666998310946,1.0,True,N/A,No angle indicators to check,True,Diagram is fully in canvas,N/A,No labels to check,True,No problematic overlaps detected,True,All elements >= 1.5pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,No numeric labels to check,,
28,gpt-4.1-mini,2d shapes,triangle,True,2133.5235000005923,3120,97,6.765957994502969,1.0,True,N/A,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (3 total): Label 'A' -> shape (polygon) (inside shape); Label 'B' -> shape (polygon) (inside shape); Label 'C' -> shape (polygon) (inside shape),True,No problematic overlaps detected,True,All elements >= 0.6pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,No numeric labels to check,,
29,gpt-4.1-mini,2d shapes,triangle,True,4043.3911670115776,3236,215,5.062832991825417,1.0,True,N/A,No angle indicators to check,True,No canvas constraints applied,N/A,No labels to check,True,No problematic overlaps detected,True,All elements >= 0.7pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,No numeric labels to check,,
30,gpt-4.1-mini,2d shapes,triangle,True,4023.219833004987,3152,217,15.592665993608534,1.0,True,True,No angle labels present; Right-angle symbols consistent,True,Diagram is fully in canvas,True,Labels assigned (2 total): Label '6 units' -> segment (distance=9.6pt); Label '4 units' -> shape_edge (triangle) (distance=9.5pt) (ties noted: Numeric label '6 units' ties edges (difference=0.0pt)),True,No problematic overlaps detected,True,All elements >= 1.7pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,Not enough labeled pairs to compare proportions,,
31,gpt-4.1-mini,2d shapes,triangle,True,3896.4207920071203,3077,194,8.824582997476682,0.8571428571428571,False,N/A,No angle labels or right-angle symbols to evaluate,True,Diagram is fully in canvas,True,Labels assigned (1 total): Label 'x' -> arc (distance=0.3pt),False,"Arc start endpoint (198.6, 32.7) is 6.5pt from nearest edge",True,All elements >= 1.7pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,True,Labeled lengths/areas match measured proportions,,
32,gpt-4.1-mini,2d shapes,triangle,True,2578.4390829940094,3215,149,6.326749993604608,0.75,False,False,"Right-angle symbol at (85.4, 62.6) does not align with two diagram edges",True,No canvas constraints applied,True,Labels assigned (2 total): Label 'base = 4 units' -> segment (distance=8.5pt); Label 'height = 5 units' -> shape_edge (polygon) (distance=0.0pt) (ties noted: Numeric label 'base = 4 units' ties edges (difference=0.0pt)),True,No problematic overlaps detected,True,All elements >= 1.2pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,False,"Length proportion mismatch: ((no id), label=4) vs ((no id), label=5) → rel. error 0.250",,
33,gpt-4.1-mini,2d shapes,triangle,False,8313.022957998328,3481,446,16.021833987906575,0.625,False,N/A,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (6 total): Label 'h_1' -> segment (distance=0.0pt); Label 'Base: AB' -> shape (triangle) (inside shape); Label 'h_2' -> segment (distance=7.4pt); Label 'Base: AC' -> segment (distance=0.0pt); Label 'h_3' -> segment (distance=11.4pt); Label 'Base: BC' -> shape (triangle) (inside shape) (ties noted: Numeric label 'h_1' ties edges (difference=0.0pt); Numeric label 'h_2' ties edges (difference=0.0pt)),False,Nodes 'h_2' and 'Base: BC' overlap (2.9 pt²); Node 'Base: AB' sits directly on top of a diagram edge,True,All elements >= 1.1pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,False,"Length proportion mismatch: ((no id), label=1) vs ((no id), label=2) → rel. error 1.620; Length proportion mismatch: ((no id), label=1) vs ((no id), label=3) → rel. error 51.718; Length proportion mismatch: ((no id), label=2) vs ((no id), label=3) → rel. error 19.125",False,"Schema validation failed: 3 validation errors for TikzIR
line_segments.0.style
  Input should be 'solid', 'dashed' or 'dotted' [type=literal_error, input_value='thick', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/literal_error
line_segments.1.style
  Input should be 'solid', 'dashed' or 'dotted' [type=literal_error, input_value='thick', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/literal_error
line_segments.2.style
  Input should be 'solid', 'dashed' or 'dotted' [type=literal_error, input_value='thick', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/literal_error"
34,gpt-4.1-mini,2d shapes,triangle,False,6097.307499992894,3122,409,16.0921250062529,0.5,False,False,Angle label '28°' is 1733.7pt from nearest arc,False,"line_segments bbox ((11.6, 5.8) to (505.1, 5.8)) exceeds canvas allowance (+/- 5.0pt)",False,Angle label '28°' is 1733.7pt from nearest arc (limit 55.0pt),True,No problematic overlaps detected,True,All elements >= 2.6pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,Not enough labeled pairs to compare proportions,False,"Schema validation failed: 2 validation errors for TikzIR
line_segments.3.style
  Input should be 'solid', 'dashed' or 'dotted' [type=literal_error, input_value='thin', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/literal_error
line_segments.4.style
  Input should be 'solid', 'dashed' or 'dotted' [type=literal_error, input_value='thin', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/literal_error"
35,gpt-4.1-mini,2d shapes,triangle,True,15852.20316699997,4386,1508,23.99920798779931,0.6666666666666666,False,N/A,No angle labels or right-angle symbols to evaluate,False,"line_segments bbox ((647.5, 32.4) to (971.3, 32.4)) exceeds canvas allowance (+/- 5.0pt)",True,Labels assigned (7 total): Label 'A' -> segment (distance=0.0pt); Label 'B' -> segment (distance=0.0pt); Label 'C' -> segment (distance=0.0pt); Label 'D' -> segment (distance=0.0pt); Label 'E' -> segment (distance=0.0pt); Label 'F' -> segment (distance=0.0pt); Label 'Similar Triangles \triangle ABC \sim \triangle DEF' -> segment (distance=24.8pt) (ties noted: Text label 'A' ties elements (difference=0.0pt); Text label 'B' ties elements (difference=0.0pt) (+5 more ties)),False,"Arc start endpoint (197.5, 36.6) is 1.6pt from nearest edge; Arc end endpoint (102.8, 136.7) is 1.9pt from nearest edge; Arc start endpoint (964.6, 43.2) is 2.2pt from nearest edge (+1 more)",True,All elements >= 2.3pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,No numeric labels to check,,
36,gpt-4.1-mini,2d shapes,triangle,True,4384.099749993766,3207,210,10.802541000884958,1.0,True,N/A,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (5 total): Label 'A' -> shape (triangle) (inside shape); Label 'B' -> shape (triangle) (inside shape); Label 'C' -> shape (triangle) (inside shape); Label 'B'' -> segment (distance=50.9pt); Label 'p' -> segment (distance=0.0pt),True,No problematic overlaps detected,True,All elements >= 2.1pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,No numeric labels to check,,
37,gpt-4.1-mini,2d shapes,triangle,True,3268.0014170036884,3104,210,7.79024999064859,0.7142857142857143,False,False,"Right-angle symbol at (112.0, 3.6) does not align with two diagram edges",False,"node bbox ((82.1, -24.7) to (134.8, -18.7)) exceeds canvas allowance (+/- 5.0pt)",True,Labels assigned (2 total): Label 'base = 6 units' -> segment (distance=7.8pt); Label 'height = 4 units' -> shape_edge (triangle) (distance=10.9pt),True,No problematic overlaps detected,True,All elements >= 1.7pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,Not enough labeled pairs to compare proportions,,
38,gpt-4.1-mini,2d shapes,triangle,True,2668.8307500007795,2958,120,2.1430829947348684,1.0,True,N/A,No angle indicators to check,True,No canvas constraints applied,N/A,No labels to check,True,No problematic overlaps detected,True,All elements >= 0.7pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,No numeric labels to check,,
39,gpt-4.1-mini,2d shapes,triangle,True,2569.7778339963406,3017,116,3.911749998223968,1.0,True,N/A,No angle indicators to check,True,Diagram is fully in canvas,N/A,No labels to check,True,No problematic overlaps detected,True,All elements >= 1.5pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,No numeric labels to check,,
40,gpt-4.1-mini,2d shapes,triangle,True,5361.423665992334,3271,383,21.677707991329953,0.7142857142857143,False,N/A,No angle indicators to check,False,"node bbox ((-41.4, -6.0) to (-36.1, 0.0)) exceeds canvas allowance (+/- 5.0pt)",True,Labels assigned (12 total): Label '4' -> segment (distance=7.2pt); Label '5' -> segment (distance=18.7pt); Label '6' -> segment (distance=7.9pt); Label 'A' -> shape (triangle) (inside shape); Label 'B' -> shape (triangle) (inside shape); Label 'C' -> shape (triangle) (inside shape); Label '?' -> segment (distance=8.0pt); Label '7.5' -> segment (distance=0.0pt); Label '9' -> segment (distance=51.3pt); Label 'D' -> shape (triangle) (inside shape); Label 'E' -> shape (triangle) (inside shape); Label 'F' -> shape (triangle) (inside shape) (ties noted: Numeric label '4' ties edges (difference=0.0pt); Numeric label '5' ties edges (difference=0.0pt) (+3 more ties)),True,No problematic overlaps detected,True,All elements >= 1.9pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,False,"Length proportion mismatch: ((no id), label=4) vs ((no id), label=5) → rel. error 0.288; Length proportion mismatch: ((no id), label=4) vs ((no id), label=6) → rel. error 0.237; Length proportion mismatch: ((no id), label=4) vs ((no id), label=7.5) → rel. error 0.546 (+6 more)",,
